num;G_State;G_City;G_Study;A1_Gender;A10_LevInc;EduF;EduM;Rank;PaysVis;Nblang;VecuEtranger;D2_tot
57;BEL;LGG;ART;F;Inc3;4;3;Nat;Vis5;3lang;etra_N;cultural diversity exchanges power  
58;BEL;LGG;ART;F;Inc3;3;2;Inf;Vis5;3lang;etra_O;occidentals beginning various population money disorganization
59;BEL;LGG;ART;M;Inc4;4;4;Loc;Vis5;2lang;etra_N;union euro the west un 
60;BEL;LGG;ART;F;Inc2;4;2;Loc;Vis_1a4;4+lang;etra_N;mainland european community brussels grouping 
61;BEL;LGG;ART;F;Inc3;4;4;Loc;Vis5;2lang;etra_N;european parliament deputy brussels norms euro
63;BEL;LGG;ART;M;Inc4;4;4;Loc;Vis5;3lang;etra_N;euro strict well provided eurovision 
65;BEL;LGG;ART;M;Inc3;3;4;Mul;Vis5;3lang;etra_O;new open small  
66;BEL;LGG;ART;M;Inc2;4;1;Glo;Vis_1a4;4+lang;etra_N;economic crisis unemployment nothing  
67;BEL;LGG;ART;M;Inc3;4;4;Glo;Vis_1a4;3lang;etra_N;crisis strength old mainland beautiful 
68;BEL;LGG;ART;M;Inc2;3;2;Nat;Vis_1a4;3lang;etra_N;union state fraternity peace 
69;BEL;LGG;ART;F;Inc2;3;3;Nat;Vis_1a4;2lang;etra_O;union political money euro culture development
70;BEL;LGG;ART;F;Inc3;3;3;Nat;Vis5;4+lang;etra_O;culture peace freedom wealth union
71;BEL;LGG;ART;F;Inc3;3;2;Nat;Vis5;3lang;etra_N;euro parliament un stars brussels
72;BEL;LGG;ART;M;Inc2;4;4;Nat;Vis5;3lang;etra_N;common market one money cooperation one big country no borders
73;BEL;LGG;ART;M;Inc3;3;3;Nat;Vis5;2lang;etra_N;economy mainland euro exchange union
74;BEL;LGG;ART;M;Inc2;4;3;  .;Vis5;3lang;etra_N;united power   
75;BEL;LGG;ART;M;Inc2;3;4;Loc;Vis_1a4;2lang;etra_N;euro european union european journalism centre dali barcelona
1446;BEL;BRU;BUS;F;Inc2;3;4;Glo;Vis_1a4;4+lang;etra_O;euro ki-community european  
1447;BEL;BRU;BUS;F;Inc3;3;3;Nat;Vis5;4+lang;etra_N;human rights    
1448;BEL;BRU;BUS;M;Inc2;3;4;Glo;Vis_1a4;2lang;etra_O;developed continent    
1449;BEL;BRU;BUS;F;Inc1;3;3;Nat;Vis_1a4;4+lang;etra_O;union no visa euro  
1450;BEL;BRU;BUS;M;Inc2;3;3;Sup;Vis5;3lang;etra_N;western richness multicultural industrialized countries 
1451;BEL;BRU;BUS;M;Inc2;2;3;Glo;Vis_1a4;3lang;etra_O;western multicultural strike euro wealth
1452;BEL;BRU;BUS;M;Inc3;3;2;Nat;Vis_1a4;3lang;etra_N;diversity wealth incomprehension  
1453;BEL;BRU;BUS;M;Inc3;2;3;Nat;Vis_1a4;4+lang;etra_O;community    
1455;BEL;BRU;BUS;M;Inc2;2;2;Nat;Vis5;4+lang;etra_N;freedom peace wealth european union euro
1456;BEL;BRU;BUS;M;Inc1;1;1;Loc;Vis5;4+lang;etra_N;history wealth knowledge  
1457;BEL;BRU;BUS;M;Inc2;2;1;Sup;Vis5;4+lang;etra_N;wealth culture diversity ambiguous strategy
1458;BEL;BRU;BUS;M;Inc2;2;1;Glo;Vis5;4+lang;etra_N;long term euro   
1459;BEL;BRU;BUS;M;Inc3;4;4;Nat;Vis_1a4;3lang;etra_N;contradiction ambiguous unification transnational submission
1460;BEL;BRU;BUS;M;Inc3;2;2;Glo;Vis5;4+lang;etra_O;european union equality euro freedom 
1461;BEL;BRU;BUS;M;Inc3;4;3;Nat;Vis_1a4;3lang;etra_N;european union euro central bank  
1463;BEL;BRU;BUS;M;Inc2;2;3;Nat;Vis_1a4;4+lang;etra_O;union community association  
1466;BEL;BRU;BUS;F;Inc2;3;3;Nat;Vis5;3lang;etra_N;too much enlargement    
1467;BEL;BRU;BUS;F;Inc2;2;1;Glo;Vis5;2lang;etra_N;continent policy economy  
1468;BEL;BRU;BUS;F;Inc2;2;2;Glo;Vis5;0-1lang;etra_N;diversity agriculture policy european union rome treaty 
1469;BEL;BRU;BUS;M;Inc3;2;3;Nat;Vis5;3lang;etra_O;economy union euro strength progress
1470;BEL;BRU;BUS;F;Inc2;2;2;Loc;Vis_1a4;4+lang;etra_N;organization solidarity complexity withdrawn 
1471;BEL;BRU;BUS;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;rain wealth diversity  
1472;BEL;BRU;BUS;M;Inc3;3;3;Nat;Vis5;4+lang;etra_N;european urology   
1473;BEL;BRU;BUS;M;Inc3;4;4;Sup;Vis5;2lang;etra_O;west wealthy world core finance affluent
1474;BEL;BRU;BUS;F;Inc3;3;3;Nat;Vis5;3lang;etra_N;euro champions leagues mobility openness freedom
1475;BEL;BRU;BUS;M;Inc3;4;4;Oth;Vis5;4+lang;etra_O;european union champions leagues mobility openness freedom
1476;BEL;BRU;BUS;M;Inc2;3;3;Glo;Vis_1a4;4+lang;etra_O;union power   
1477;BEL;BRU;BUS;M;Inc2;4;4;Sup;Vis5;0-1lang;etra_N;peace economy stability power 
1478;BEL;BRU;BUS;M;Inc3;3;3;Glo;Vis_1a4;0-1lang;etra_N;unity unusefluness bureaucracy passive 
1479;BEL;BRU;BUS;F;Inc4;4;4;Glo;Vis5;0-1lang;etra_N;euro european union van rompuy brussels 
1480;BEL;BRU;BUS;M;Inc4;3;4;Inf;Vis5;4+lang;etra_O;euro van rompuy union brussels jacobsian matrix
1481;BEL;LEU;BUS;M;Inc3;4;4;Loc;Vis_1a4;3lang;etra_N;well-to-do euro   
1482;BEL;LEU;BUS;M;Inc3;2;4;Loc;Vis5;3lang;etra_N;euro prosperous   
1484;BEL;LEU;BUS;F;Inc3;4;4;Nat;Vis_1a4;3lang;etra_N;rich secure european union economy prosperous
1485;BEL;LEU;BUS;M;Inc3;1;4;Mul;Vis5;4+lang;etra_N;laxism invasion multiculturality not strong enough 
1486;BEL;LEU;BUS;F;Inc3;2;1;Nat;Vis_1a4;4+lang;etra_N;christianity west multicultural  
1487;BEL;LEU;BUS;M;Inc2;3;3;Inf;Vis5;3lang;etra_N;social economic coalition   
1488;BEL;LEU;BUS;F;Inc3;2;3;Loc;Vis5;0-1lang;etra_N;prosperity european union different culture  
1489;BEL;LEU;BUS;F;Inc3;4;4;Sup;Vis5;4+lang;etra_N;european union euro unity  
1490;BEL;LEU;BUS;M;Inc3;2;2;Glo;Vis_1a4;4+lang;etra_N;christianity multicultural   
1491;BEL;LEU;BUS;M;Inc3;4;4;Nat;Vis_1a4;3lang;etra_N;european union    
1492;BEL;LEU;BUS;F;Inc2;1;2;Glo;Vis5;4+lang;etra_N;economy monetary union collaboration  
1493;BEL;LEU;BUS;F;Inc3;2;3;Oth;Vis5;4+lang;etra_N;euro european commission european central bank  
1494;BEL;LEU;BUS;M;Inc4;3;4;Sup;Vis5;3lang;etra_N;equality inefficiency economic growth profitariat 
1495;BEL;LEU;BUS;F;Inc3;2;3;Mul;Vis5;2lang;etra_N;european union collaboration euro monetary union agreement
1496;BEL;LEU;BUS;F;Inc4;3;4;Glo;Vis5;2lang;etra_O;euro ecb european union  
1497;BEL;LEU;BUS;F;Inc3;2;4;Nat;Vis5;4+lang;etra_N;western manufacturing capitalism history geography
1498;BEL;LEU;BUS;F;Inc2;3;4;Nat;Vis5;4+lang;etra_O;brussels western evolution free independence
1499;BEL;LEU;BUS;F;Inc3;3;1;Loc;Vis5;4+lang;etra_N;euro brussels belgium european commission 
1500;BEL;LEU;BUS;F;Inc2;3;2;Loc;Vis5;3lang;etra_N;economy european parliament collaboration  
1501;BEL;LEU;BUS;F;Inc2;2;2;Loc;Vis5;3lang;etra_N;economy european parliament collaboration  
1502;BEL;LEU;BUS;M;Inc3;2;3;Nat;Vis5;2lang;etra_N;union strong economy easy 
1503;BEL;LEU;BUS;M;Inc3;3;4;Sup;Vis5;3lang;etra_O;euro ecb history brussels world
1504;BEL;LEU;BUS;M;Inc2;2;3;Glo;Vis5;4+lang;etra_O;developed    
1505;BEL;LEU;BUS;M;Inc3;3;2;Nat;Vis5;4+lang;etra_O;indifferent critical racist unbalanced 
1506;BEL;LEU;BUS;M;Inc3;4;4;Inf;Vis5;3lang;etra_N;eurozone schengen brussels ecb 
1507;BEL;LEU;BUS;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;multicultural open borders democratic juridical protection 
1508;BEL;LEU;BUS;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;prosperous democracy populated  
1509;BEL;LEU;BUS;M;Inc3;4;4;Sup;Vis5;4+lang;etra_O;freedom open borders opportunities  
1510;BEL;LEU;BUS;F;Inc3;3;4;Glo;Vis_1a4;4+lang;etra_N;european commission economic chapel euro unity 
1511;BEL;LEU;BUS;F;Inc3;4;1;Glo;Vis5;3lang;etra_N;variety culture   
1512;BEL;LEU;BUS;F;Inc2;3;3;Nat;Vis5;3lang;etra_N;diversity    
1513;BEL;LEU;BUS;M;Inc3;4;3;Glo;Vis5;4+lang;etra_N;multicultural open technological  
1514;BEL;LEU;BUS;F;Inc3;4;3;  .;Vis5;3lang;etra_N;west euro european union  
1515;BEL;LEU;BUS;M;Inc3;2;2;Nat;Vis5;3lang;etra_O;unity    
1516;BEL;LEU;BUS;M;Inc3;2;2;Loc;Vis5;2lang;etra_N;brussels european union european commission  
1517;BEL;LEU;BUS;M;Inc3;4;3;Loc;Vis_1a4;3lang;etra_N;collaboration    
1518;BEL;LEU;BUS;M;Inc3;2;4;Loc;Vis_1a4;3lang;etra_N;euro liberalism capitalism unity 
1519;BEL;LEU;BUS;M;Inc2;3;2;Loc;Vis_1a4;3lang;etra_N;liberalism capitalism intolerance  
1520;BEL;LEU;BUS;M;Inc3;3;3;Glo;Vis5;4+lang;etra_N;unity in diversity territorial unity   
1521;BEL;LEU;BUS;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;euro    
1522;BEL;LEU;BUS;F;Inc1;2;1;Loc;Vis5;3lang;etra_N;travel continent euro  
1523;BEL;LEU;BUS;M;Inc3;3;4;Glo;Vis5;3lang;etra_N;union    
1526;BEL;LGG;BUS;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;rights culture euro economy parliament
1527;BEL;LGG;BUS;M;Inc2;3;2;Glo;Vis5;4+lang;etra_N;union exchange schengen brussels strasbourg
1528;BEL;LGG;BUS;M;Inc2;3;4;Sup;Vis5;4+lang;etra_O;european community brussels euro nato vatican
1529;BEL;LGG;BUS;M;Inc3;3;4;Nat;Vis_1a4;0-1lang;etra_N;rich brussels old mainland napoleon immigration
1530;BEL;LGG;BUS;M;Inc3;4;4;Nat;Vis5;4+lang;etra_N;convenient too large   
1531;BEL;LGG;BUS;M;Inc2;3;2;Loc;Vis5;3lang;etra_O;united power fictitious  
1532;BEL;LGG;BUS;M;Inc3;3;4;Nat;Vis5;3lang;etra_O;euro brussels strasbourg  
1533;BEL;LGG;BUS;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;money right parliament exchange freedom
1535;BEL;LGG;BUS;M;Inc4;4;4;Inf;Vis5;3lang;etra_N;mainland euro grouping of countries exchange union
1536;BEL;LGG;BUS;M;Inc4;3;3;Nat;Vis5;3lang;etra_N;union political solidarity alliance 
1538;BEL;LGG;BUS;M;Inc3;3;2;Sup;Vis5;4+lang;etra_O;exchanges union global mainland money
1539;BEL;LGG;BUS;F;Inc2;4;4;Nat;Vis5;3lang;etra_O;union mainland progress  
1540;BEL;LGG;BUS;F;Inc2;4;4;  .;Vis_1a4;2lang;etra_N;cooperation progress community integration 
1541;BEL;LGG;BUS;F;Inc3;2;2;Loc;Vis_1a4;4+lang;etra_N;old mainland    
1542;BEL;LGG;BUS;M;Inc3;4;4;Glo;Vis5;3lang;etra_N;right peace citizenship uebl communication
1543;BEL;LGG;BUS;F;Inc4;4;4;Loc;Vis5;2lang;etra_O;old capitalist racist powerful closed
1544;BEL;LGG;BUS;M;Inc2;2;2;Nat;Vis5;3lang;etra_N;union power euro big 
1545;BEL;LGG;BUS;M;Inc3;3;3;Nat;Vis5;4+lang;etra_N;euro union brussels parliament mainland
1546;BEL;LGG;BUS;M;Inc3;3;3;Loc;Vis5;3lang;etra_O;old splited thriving  
1548;BEL;LGG;BUS;M;Inc3;3;3;Nat;Vis5;4+lang;etra_O;equality prosperity culture  
1549;BEL;LGG;BUS;M;Inc3;3;4;Loc;Vis5;4+lang;etra_N;euro european commission   
1550;BEL;LGG;BUS;F;Inc2;2;2;Nat;Vis5;4+lang;etra_N;euro mainland community european union multicultural
1551;BEL;LGG;BUS;M;Inc3;3;4;Nat;Vis5;4+lang;etra_N;union schengen bipolarisation security alliance
1552;BEL;LGG;BUS;F;Inc3;3;2;Oth;Vis_1a4;4+lang;etra_N;innocence which don't mean nothing anymore   
1553;BEL;LGG;BUS;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;mainland union developed civilized 
1554;BEL;LGG;BUS;M;Inc3;4;4;Loc;Vis5;4+lang;etra_N;union developed wealth old mainland civilized
1555;BEL;LGG;BUS;M;Inc3;4;4;Glo;Vis5;4+lang;etra_N;union association partnerships euro mainland
1557;BEL;LGG;BUS;M;Inc4;4;4;Loc;Vis5;4+lang;etra_N;brussels euro mainland  
1558;BEL;LGG;BUS;M;Inc3;3;4;Inf;Vis_1a4;3lang;etra_N;monetary union economy democracy freedom diversity
1559;BEL;LGG;BUS;F;Inc2;3;3;Inf;Vis_1a4;3lang;etra_N;euro european commission   
1562;BEL;LGG;BUS;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;mainland union brussels freedom development
1563;BEL;LGG;BUS;M;Inc3;4;4;Nat;Vis5;3lang;etra_N;union economy high ground north community
1564;BEL;LGG;BUS;M;Inc3;2;3;Glo;Vis5;4+lang;etra_N;pioneer fall white centre multicultural
3002;BEL;BRU;ENG;M;Inc2;1;1;Loc;Vis5;2lang;etra_N;bureaucracy liberalism anti-democratic  
3003;BEL;BRU;ENG;M;Inc3;3;4;Nat;Vis5;4+lang;etra_O;economic power of the future    
3004;BEL;BRU;ENG;M;Inc1;1;1;Mul;Vis5;4+lang;etra_N;european union euro european parliament  
3005;BEL;BRU;ENG;M;Inc2;2;3;Glo;Vis_1a4;4+lang;etra_N;european union euro   
3007;BEL;BRU;ENG;M;Inc2;3;3;Nat;Vis_O;3lang;etra_O;nato union swindling  
3008;BEL;BRU;ENG;M;Inc3;3;3;Oth;Vis5;4+lang;etra_O;european union administrative overload   
3009;BEL;BRU;ENG;M;Inc3;1;4;Nat;Vis5;4+lang;etra_N;decisions economy unification power stability
3010;BEL;BRU;ENG;M;Inc4;;3;Loc;Vis5;2lang;etra_N;economy    
3011;BEL;BRU;ENG;M;Inc2;4;4;Nat;Vis5;2lang;etra_O;neo-capitalism openness of borders friends  
3012;BEL;BRU;ENG;M;Inc3;3;3;Sup;Vis5;2lang;etra_N;old mainland    
3013;BEL;BRU;ENG;F;Inc2;3;3;Nat;Vis5;2lang;etra_N;economy    
3015;BEL;BRU;ENG;M;Inc3;4;4;Sup;Vis5;2lang;etra_O;free trade peace consensus openness sharing
3016;BEL;BRU;ENG;M;Inc2;3;4;Oth;Vis_1a4;3lang;etra_N;underground adsl football france money
3017;BEL;BRU;ENG;F;Inc3;4;4;Glo;Vis5;4+lang;etra_N;union administration solidarity  
3018;BEL;BRU;ENG;M;Inc3;3;3;Nat;Vis_1a4;3lang;etra_N;euro economic power diversity  
3019;BEL;BRU;ENG;M;Inc2;3;3;Loc;Vis5;4+lang;etra_N;european union euro community the west developed
3020;BEL;BRU;ENG;M;Inc3;3;3;Nat;Vis5;4+lang;etra_N;mainland community union  
3022;BEL;BRU;ENG;M;Inc3;3;3;Nat;Vis5;2lang;etra_N;consistency euro management power evolution
3023;BEL;BRU;ENG;M;Inc2;4;4;Sup;Vis5;4+lang;etra_N;euro    
3024;BEL;BRU;ENG;M;Inc3;4;4;Inf;Vis5;3lang;etra_N;community mutual help neighbours common currency 
3026;BEL;BRU;ENG;M;Inc3;2;4;Nat;Vis_1a4;2lang;etra_O;mutual help    
3027;BEL;BRU;ENG;M;Inc2;3;;Oth;Vis_1a4;4+lang;etra_N;solidarity conflict mutual help  
3028;BEL;BRU;ENG;M;Inc2;2;2;Glo;Vis5;4+lang;etra_N;economy union euro stock exchange 
3029;BEL;LEU;ENG;M;Inc3;2;3;Glo;Vis5;3lang;etra_N;euro    
3030;BEL;LEU;ENG;M;Inc2;1;2;Glo;Vis_1a4;3lang;etra_N;union euro   
3031;BEL;LEU;ENG;M;Inc3;3;3;Mul;Vis5;3lang;etra_N;euro    
3032;BEL;LEU;ENG;M;Inc3;2;3;Nat;Vis5;3lang;etra_N;culture union brussels old 
3033;BEL;LEU;ENG;M;Inc3;4;4;Mul;Vis5;3lang;etra_N;central union   
3034;BEL;LEU;ENG;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;union open borders power  
3035;BEL;LEU;ENG;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;european union west benelux  
3036;BEL;LEU;ENG;M;Inc2;3;4;Glo;Vis_1a4;4+lang;etra_N;continent union   
3037;BEL;LEU;ENG;M;Inc3;2;2;Inf;Vis5;2lang;etra_N;union    
3038;BEL;LEU;ENG;M;Inc2;3;3;Glo;Vis_1a4;4+lang;etra_N;euro european union   
3039;BEL;LEU;ENG;M;Inc4;2;3;Inf;Vis5;4+lang;etra_N;unity euro diversity union 
3040;BEL;LEU;ENG;M;Inc4;3;3;Inf;Vis5;4+lang;etra_N;european union euro   
3042;BEL;LEU;ENG;M;Inc3;2;3;Sup;Vis5;3lang;etra_N;wealthy rich social security  
3044;BEL;LEU;ENG;F;Inc3;2;4;Glo;Vis5;3lang;etra_O;euro    
3045;BEL;LEU;ENG;M;Inc2;2;3;Mul;Vis5;3lang;etra_N;euro    
3046;BEL;LEU;ENG;M;Inc3;3;3;Glo;Vis5;3lang;etra_N;different culture east west difference   
3047;BEL;LEU;ENG;M;Inc3;3;3;Nat;Vis_1a4;2lang;etra_N;west euro   
3048;BEL;LEU;ENG;M;Inc3;4;4;Inf;Vis5;3lang;etra_O;languages euro   
3050;BEL;LEU;ENG;M;Inc2;3;2;Inf;Vis5;2lang;etra_N;union euro region politics 
3051;BEL;LEU;ENG;M;Inc3;3;3;Sup;Vis5;3lang;etra_N;community    
3053;BEL;LEU;ENG;M;Inc4;4;4;Nat;Vis_1a4;4+lang;etra_N;economy policy european commission  
3054;BEL;LEU;ENG;M;Inc3;2;2;Loc;Vis5;3lang;etra_N;travel culture political divizion  
3055;BEL;LEU;ENG;M;Inc3;3;4;Nat;Vis5;3lang;etra_N;european union euro economy  
3057;BEL;LEU;ENG;M;Inc3;2;2;Glo;Vis5;4+lang;etra_N;europe    
3058;BEL;LEU;ENG;F;Inc3;2;3;Nat;Vis_1a4;3lang;etra_N;politics    
3059;BEL;LEU;ENG;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;civilization culture past champions leagues 
3060;BEL;LEU;ENG;M;Inc3;3;3;Mul;Vis5;3lang;etra_N;free  football cycling history
3061;BEL;LEU;ENG;M;Inc4;4;4;Loc;Vis_1a4;3lang;etra_N;song festival euro   
3062;BEL;LEU;ENG;M;Inc4;4;4;Loc;Vis_1a4;2lang;etra_N;euro song festival divided  
3063;BEL;LEU;ENG;M;Inc3;1;1;Loc;Vis5;2lang;etra_N;divizion    
3064;BEL;LEU;ENG;M;Inc3;3;3;Nat;Vis5;3lang;etra_N;people culture history science education
3065;BEL;LEU;ENG;M;Inc3;4;4;Loc;Vis5;3lang;etra_N;euro tankard barroso  
3066;BEL;LEU;ENG;M;Inc3;4;4;Inf;Vis5;3lang;etra_N;various cultures various languages   
3067;BEL;LGG;ENG;M;Inc2;4;2;Inf;Vis_1a4;3lang;etra_N;development    
3068;BEL;LGG;ENG;M;Inc1;4;3;Glo;Vis5;2lang;etra_N;brussels mainland euro milk union
3069;BEL;LGG;ENG;M;Inc4;4;4;Sup;Vis5;2lang;etra_N;mainland brussels community old world diversity
3070;BEL;LGG;ENG;M;Inc2;2;2;Sup;Vis5;2lang;etra_N;brussels nato mainland disparity diversity
3071;BEL;LGG;ENG;M;Inc4;3;4;Sup;Vis5;3lang;etra_N;civilization technology intelligence wealth respect
3072;BEL;LGG;ENG;M;Inc3;3;4;Nat;Vis5;2lang;etra_N;union euro schengen economy openness
3073;BEL;LGG;ENG;M;Inc1;4;3;Nat;Vis5;3lang;etra_N;old west industrialized  
3074;BEL;LGG;ENG;M;Inc3;3;2;Loc;Vis5;4+lang;etra_N;european parliament openness of borders benelux business 
3075;BEL;LGG;ENG;M;Inc3;2;3;Nat;Vis5;3lang;etra_N;euro advanced open nato 
3076;BEL;LGG;ENG;M;Inc2;3;1;Glo;Vis5;3lang;etra_N;euro union   
3077;BEL;LGG;ENG;M;Inc3;1;1;Inf;Vis_1a4;2lang;etra_N;union euro erasmus  
3078;BEL;LGG;ENG;M;Inc2;2;2;Loc;Vis_1a4;3lang;etra_N;union economy   
3079;BEL;LGG;ENG;M;Inc2;1;4;Loc;Vis5;2lang;etra_N;union mainland european culture 
3080;BEL;LGG;ENG;F;Inc3;3;3;Loc;Vis5;3lang;etra_N;mainland    
3081;BEL;LGG;ENG;M;Inc3;3;2;Inf;Vis5;2lang;etra_N;money plumber brussels bier potato
3082;BEL;LGG;ENG;M;Inc2;2;3;Mul;Vis_1a4;2lang;etra_N;liberalism    
3083;BEL;LGG;ENG;M;Inc2;2;2;Sup;Vis5;4+lang;etra_O;tradition history economic  
3084;BEL;LGG;ENG;M;Inc3;3;4;Glo;Vis5;3lang;etra_N;european union economy   
3085;BEL;LGG;ENG;M;Inc2;4;3;Glo;Vis_1a4;3lang;etra_N;union economy   
3086;BEL;LGG;ENG;M;Inc3;3;3;Oth;Vis5;3lang;etra_N;united mainland   
3087;BEL;LGG;ENG;M;Inc2;3;4;Nat;Vis5;3lang;etra_N;non-asian actually too many under construction mainland political madness
3088;BEL;LGG;ENG;F;;4;4;  .;Vis_1a4;4+lang;etra_O;union west   
3089;BEL;LGG;ENG;M;Inc3;2;4;Inf;Vis_1a4;0-1lang;etra_N;euro union parliament  
3091;BEL;LGG;ENG;M;Inc3;3;3;Nat;Vis_1a4;2lang;etra_N;the west wisdom old  
3092;BEL;LGG;ENG;M;Inc3;3;4;Nat;Vis5;3lang;etra_N;mainland union   
3093;BEL;LGG;ENG;M;Inc3;4;4;Inf;Vis5;2lang;etra_N;success economic power build future political power
3094;BEL;LGG;ENG;M;;3;3;  .;Vis5;2lang;etra_N;european union    
