;Term;Occurrences;Stopword
actif;actif;1;
actifs;actif;1;
action;action;35;
actions;action;4;
active;actif;6;
actives;actif;1;
activite;activité;5;
activité;activité;21;
activites;activité;2;
activités;activité;2;
actuel;actuel;1;
actuellement;actuellement;2;
actuelles;actuel;2;
adaptant;adapté;1;
adaptation;adaptation;6;
adaptee;adapté;1;
adaptées;adapt;2;
adapter;adapter;11;
adaptés;adapté;1;
adaptons;adapter;1;
adieu;adieu;2;
admet;admet;1;
administratif;administratif;1;
administration;administration;1;
administratives;administratif;1;
admirable;admirable;1;
admirables;admirable;1;
admiration;admiration;1;
admiré;admiré;1;
adoptée;adopté;1;
adopter;adopter;2;
adressant;adresser;1;
adresse;adresser;25;
adressent;adresser;4;
adresser;adresser;11;
adressions;adresser;1;
adressons;adresser;3;
advenir;advenir;2;
adversaire;adversaire;1;
advienne;advienne;2;
aérien;aérien;1;
aéroport;aéroport;1;
affaiblir;affaiblir;1;
affaiblis;affaiblir;1;
affaire;affaire;2;
affaires;affaire;1;
affecte;affecter;1;
affection;affection;2;
affections;affection;1;
affectueusement;affectu;1;
affectueux;affectu;2;
affirmation;affirmation;2;
affirme;affirmer;6;
affirment;affirmer;1;
affirmer;affirmer;5;
affirmera;affirmer;1;
affirmons;affirmer;2;
afflux;afflux;4;
affrontées;affront;2;
affrontement;affront;1;
affronter;affront;6;
afghanistan;afghanistan;2;
afin;afin;16;
africain;africain;2;
africains;africain;4;
afrique;afriqu;9;
age;âge;3;
âge;âge;4;
agees;âge;4;
âgées;âge;7;
agences;agence;2;
ages;âge;1;
âgés;âgé;1;
aggravation;aggravation;1;
aggrave;aggraver;1;
aggravent;aggraver;1;
agi;agir;2;
agir;agir;26;
agira;agir;2;
agirai;agir;1;
agissant;agiss;3;
agisse;agiss;2;
agissons;agisson;1;
agit;agit;13;
agonisante;agonis;1;
agressions;agress;3;
agricoles;agricol;2;
agriculteurs;agriculteur;8;
agriculture;agricultur;5;
aidant;aid;2;
aidants;aid;2;
aide;aid;8;
aidé;aid;1;
aident;aident;3;
aider;aid;11;
aidera;aid;2;
aiderons;aid;1;
aides;aid;5;
aidons;aidon;2;
aigue;aigu;1;
aille;aill;1;
ailleurs;ailleur;10;
aime;aim;5;
aimé;aim;2;
aimée;aim;2;
aiment;aiment;3;
aimer;aim;6;
aimerais;aim;1;
aimez;aim;3;
aimons;aimon;2;
aînés;aîn;8;
ainsi;ains;28;
air;air;3;
airbus;airbus;6;
aisé;ais;1;
aisément;ais;1;
ajoute;ajout;2;
ajoutent;ajoutent;3;
ajouter;ajout;4;
ajouterai;ajout;1;
ajouterons;ajout;2;
ajustement;ajust;1;
aléas;alé;1;
alep;alep;1;
alerte;alert;2;
alger;alger;2;
algérie;alger;4;
algeriens;algerien;1;
alimentaire;alimentair;1;
alimentaires;alimentair;1;
alimentation;aliment;2;
alimentent;alimentent;1;
allais;allais;3;
allant;allant;2;
allante;allant;1;
allé;allé;1;
alleger;alleg;1;
alléger;alleg;2;
allemagne;allemagn;10;
allemand;allemand;1;
allemands;allemand;2;
aller;aller;9;
alles;alle;1;
allez;allez;2;
alliance;allianc;3;
alliances;allianc;1;
alliant;alli;1;
allie;alli;1;
allié;alli;2;
alliés;alli;3;
allions;allion;1;
allocataires;allocatair;1;
allocation;alloc;2;
allocations;alloc;3;
allongement;allong;2;
allons;allon;22;
alpes;alpe;2;
altéré;alter;1;
altèrera;alter;1;
alternance;altern;2;
alternative;altern;1;
amalgames;amalgam;1;
amateurs;amateur;2;
ambiguïtés;ambigu;1;
ambitieuse;ambiti;5;
ambitieux;ambiti;3;
ambition;ambit;25;
ambitions;ambit;4;
âme;âme;5;
améliorations;amélior;1;
améliore;amélior;1;
amélioré;amélior;2;
ameliorer;amelior;2;
améliorer;amélior;4;
aménagement;aménag;3;
amenés;amen;1;
américain;américain;1;
américaine;américain;1;
américains;américain;1;
amerique;amer;1;
amérique;amer;8;
ami;ami;2;
amicale;amical;1;
amicalement;amical;1;
amicaux;amical;1;
amis;amis;16;
amitie;amit;1;
amitié;amiti;3;
amorce;amorc;2;
amorcée;amorc;1;
amorcera;amorc;1;
amorti;amort;1;
amour;amour;2;
amours;amour;1;
ampleur;ampleur;1;
amplificateur;amplif;1;
amplifie;amplif;2;
amplifier;amplifi;3;
an;an;29;
anarchie;anarch;2;
ancienne;ancien;1;
anciennes;ancien;2;
anciens;ancien;1;
ancrer;ancrer;1;
angers;anger;2;
angleterre;angleterr;2;
angoisse;angoiss;6;
angoisses;angoiss;3;
angulaire;angulair;1;
animaux;animal;1;
anime;anim;1;
anne;anne;1;
annee;anne;42;
année;anné;242;
annees;anne;3;
années;anné;27;
anniversaire;anniversair;2;
annonce;annonc;3;
annoncé;annonc;2;
annoncée;annonc;2;
annoncées;annonc;1;
annuellement;annuel;1;
anonymes;anonym;2;
ans;an;57;
anthony;anthony;2;
anticiper;anticip;2;
antilles;antill;2;
antisémitisme;antisémit;4;
antogonistes;antogon;1;
anxiété;anxiet;1;
apaisée;apais;3;
apaisées;apais;2;
apaisement;apais;2;
apaiser;apais;1;
apartheid;apartheid;1;
apercevoir;apercevoir;2;
apercevons;apercevon;1;
apercevrait;apercevr;1;
apparaissent;apparaissent;1;
apparaitre;apparaitr;1;
apparaître;apparaîtr;1;
appartenance;apparten;1;
appartenez;apparten;2;
apparteniez;apparten;1;
appartenir;apparten;2;
appartiennent;appartiennent;1;
appartient;appartient;4;
apparue;apparu;1;
apparues;apparu;1;
appel;appel;4;
appelé;appel;1;
appelle;appel;10;
appellent;appellent;1;
applicables;applic;1;
application;appliqu;3;
applique;appliqu;2;
appliquée;appliqu;2;
appliquees;applique;1;
appliquer;appliqu;2;
appliquera;appliqu;1;
apporte;apport;4;
apporté;apport;1;
apportée;apport;1;
apportées;apport;1;
apportent;apportent;1;
apporter;apport;5;
apportera;apport;5;
apprécient;apprécient;1;
appréciez;apprec;1;
appréhension;appréhens;1;
apprendrai;apprendr;1;
apprendre;apprendr;2;
apprenions;appren;1;
apprenti;apprent;2;
apprentis;apprent;3;
apprentissage;apprentissag;5;
appris;appris;2;
apprivoiser;apprivois;1;
approche;approch;4;
approprier;appropri;1;
approuvant;approuv;1;
approuvé;approuv;1;
approvisionnements;approvision;1;
appuie;appui;1;
appuyer;appui;1;
appuyons;appuyon;1;
apres;apre;1;
après;apres;24;
arabes;arab;2;
arbitrage;arbitrag;3;
arbres;arbre;1;
ardemment;ardemment;2;
ardente;ardent;1;
argent;argent;3;
arguments;argument;1;
ariane;arian;4;
arme;arme;1;
armee;arme;1;
armée;armé;5;
armées;armé;4;
armes;arme;3;
armistice;armistic;1;
arno;arno;2;
arrache;arrach;1;
arrachepied;arrachepied;1;
arranger;arrang;1;
arrêté;arrêt;1;
arrêtée;arrêt;1;
arrêtées;arrêt;1;
arrêter;arrêt;5;
arrêterai;arrêt;1;
arrêteront;arrêt;1;
arrière;arrier;3;
arrive;arriv;9;
arrivé;arriv;1;
arrivée;arriv;3;
arrivent;arrivent;1;
arriver;arriv;1;
art;art;2;
artificiel;artificiel;1;
artificielle;artificiel;1;
artisanat;artisanat;2;
artisans;artisan;5;
artistes;artist;2;
arts;art;1;
asiatique;asiat;1;
asie;asi;1;
asile;asil;3;
aspérités;asper;1;
aspiration;aspir;1;
aspirations;aspir;6;
aspirez;aspir;1;
assassinat;assassinat;3;
assauts;assaut;1;
assemblée;assembl;4;
asservir;asserv;1;
assez;assez;8;
assise;assis;1;
assistanat;assistanat;1;
assistance;assist;1;
assister;assist;2;
assistés;assist;1;
associatif;associ;1;
association;associ;2;
associations;associ;6;
associera;associ;1;
associés;associ;2;
assomption;assompt;2;
assouplies;assoupl;1;
assumant;assum;2;
assume;assum;4;
assumé;assum;2;
assumer;assum;4;
assumerai;assum;4;
assumerons;assum;1;
assurance;assur;3;
assure;assur;4;
assuré;assur;4;
assurent;assurent;1;
assurer;assur;19;
assurera;assur;1;
assurerai;assur;1;
athenes;athen;1;
athènes;athen;1;
atlantique;atlant;1;
atomique;atom;1;
atout;atout;4;
atouts;atout;12;
atroce;atroc;1;
attache;attach;1;
attaché;attach;1;
attachement;attach;3;
attacher;attach;1;
attacherai;attach;1;
attachés;attach;2;
attaquer;attaqu;1;
attaquera;attaqu;1;
attaques;attaqu;1;
attaqués;attaqu;1;
attarderai;attard;1;
atteindra;atteindr;1;
atteindre;atteindr;2;
atteint;atteint;2;
atteinte;atteint;3;
atteintes;atteint;3;
atteints;atteint;1;
attend;attend;1;
attendant;attend;3;
attendent;attendent;11;
attendez;attend;2;
attendre;attendr;8;
attends;attend;9;
attendu;attendu;3;
attendue;attendu;1;
attentat;attentat;2;
attentats;attentat;7;
attente;attent;3;
attentes;attent;7;
attentif;attent;1;
attentifs;attent;1;
attention;attent;3;
attentive;attent;2;
attirer;attir;1;
attitudes;attitud;1;
attractifs;attract;1;
attraction;attract;1;
attractivité;attract;2;
attribué;attribu;1;
attrister;attrist;2;
aube;aub;1;
aucun;aucun;13;
aucune;aucun;8;
audace;audac;5;
audacieuse;audaci;1;
audacieux;audaci;1;
augmentation;augment;5;
augmentations;augment;1;
augmente;augment;5;
augmenter;augment;2;
augmentés;augment;1;
aujourd;aujourd;37;
aujourdhui;aujourdhui;2;
aumône;aumôn;1;
auparavant;auparav;1;
auprès;aupres;4;
auquel;auquel;13;
auroux;auroux;1;
auschwitz;auschwitz;1;
aussitôt;aussitôt;3;
austérité;auster;1;
autant;aut;23;
autodétermination;autodétermin;2;
automatique;automat;1;
automobile;automobil;4;
automobiles;automobil;1;
autonome;autonom;2;
autonomes;autonom;2;
autonomie;autonom;4;
autorisent;autorisent;1;
autoriserai;autoris;1;
autorité;autor;7;
autosuffisance;autosuffis;1;
autour;autour;16;
autre;autr;25;
autrefois;autrefois;2;
autrement;autr;7;
autres;autr;77;
autrui;autrui;1;
auxiliaires;auxiliair;1;
auxquelles;auxquel;2;
auxquels;auxquel;5;
avance;avanc;7;
avancée;avanc;1;
avancées;avanc;1;
avancent;avancent;2;
avancer;avanc;14;
avancera;avanc;2;
avançons;avançon;2;
avant;avant;25;
avantage;avantag;1;
avantages;avantag;2;
avenir;aven;86;
aventure;aventur;4;
aveuglement;aveugl;1;
avides;avid;1;
avidité;avid;1;
avion;avion;1;
avis;avis;1;
avivent;avivent;1;
avoir;avoir;30;
avril;avril;2;
aymone;aymon;1;
ayrault;ayrault;1;
badinter;badint;1;
bafoue;bafou;1;
bafouées;bafou;1;
bagage;bagag;1;
bagnolet;bagnolet;2;
baissant;baiss;2;
baisse;baiss;9;
baisser;baiss;6;
balkans;balkan;2;
balladur;balladur;1;
bancaire;bancair;1;
banlieues;banlieu;1;
banque;banqu;1;
banques;banqu;1;
barbare;barbar;1;
barbarie;barbar;1;
barrière;barri;2;
barrières;barri;2;
bas;bas;5;
basculer;bascul;2;
base;bas;4;
bases;bas;4;
basilique;basil;2;
bastilles;bastill;1;
bat;bat;4;
bataille;bataill;9;
bâti;bât;4;
bâtiments;bât;1;
bâtir;bât;10;
bâtirons;bât;3;
bâtissant;bât;1;
bâtisseurs;bâtisseur;1;
bâtissons;bât;2;
bâtit;bât;2;
bats;bat;2;
battant;batt;3;
battre;battr;1;
battu;battu;1;
battue;battu;2;
battues;battu;2;
beau;beau;2;
beaucoup;beaucoup;63;
beauté;beaut;1;
bel;bel;1;
belle;bel;7;
bénéficiaires;bénéficiair;1;
bénéficie;bénéfic;1;
bénéficient;bénéficient;3;
bénéficier;bénéfici;1;
bénéficiera;bénéfici;1;
bénévoles;bénévol;3;
bérégovoy;bérégovoy;1;
berlin;berlin;3;
bernard;bernard;2;
besoin;besoin;47;
besoins;besoin;3;
béthune;béthun;2;
bicentenaire;bicentenair;2;
bien;bien;100;
bienfaits;bienfait;1;
biens;bien;4;
bientot;bientot;1;
bientôt;bientôt;12;
bienveillance;bienveil;1;
bienveillants;bienveil;1;
biodiversité;biodivers;7;
blesse;bless;1;
blessée;bless;1;
blessent;blessent;2;
blessés;bless;5;
blessures;blessur;1;
bleus;bleus;2;
blocage;blocag;1;
blocages;blocag;2;
blocs;bloc;1;
bloquée;bloqu;1;
bloquent;bloquent;1;
bon;bon;18;
bonheur;bonheur;25;
bonheurs;bonheur;2;
bonne;bon;68;
bonnes;bon;3;
bons;bon;5;
bonsoir;bonsoir;7;
bonus;bonus;1;
bord;bord;4;
bosnie;bosn;3;
bouche;bouch;1;
bouclier;boucli;1;
bouge;boug;1;
bouger;boug;3;
bouillonnement;bouillon;1;
bouleversé;boulevers;1;
bouleversements;boulevers;6;
bouleversés;boulevers;1;
bourrasques;bourrasqu;1;
bousculé;bouscul;1;
bousculées;bouscul;1;
bousculent;bousculent;1;
bousculer;bouscul;1;
boussole;boussol;1;
boussoles;boussol;2;
bout;bout;3;
brassage;brassag;1;
bravoure;bravour;1;
bref;bref;4;
brefs;bref;1;
bretagne;bretagn;2;
brexit;brex;3;
brise;bris;1;
brisée;bris;1;
briser;bris;1;
britanniques;britann;1;
broyer;broi;1;
brûlée;brûl;2;
brûler;brûl;1;
brutal;brutal;1;
brutale;brutal;1;
brutalement;brutal;1;
brutalisé;brutalis;1;
brutaliser;brutalis;1;
brutalité;brutal;1;
bucarest;bucarest;1;
budget;budget;2;
bureaucratiques;bureaucrat;1;
burqa;burq;1;
but;but;2;
ça;ça;2;
câblés;câbl;1;
cadeau;cadeau;1;
cadences;cadenc;1;
cadre;cadr;4;
cadres;cadr;2;
caire;cair;1;
caisse;caiss;1;
calamités;calam;1;
calcul;calcul;1;
calédonie;calédon;3;
calendrier;calendri;1;
camarades;camarad;2;
cambodge;cambodg;2;
campagne;campagn;1;
campagnes;campagn;5;
camps;camp;2;
cancer;canc;1;
candidats;candidat;1;
canicule;canicul;1;
cap;cap;9;
capable;capabl;20;
capables;capabl;12;
capacite;capacit;3;
capacité;capac;13;
capacites;capacit;1;
capacités;capac;2;
capital;capital;1;
capitale;capital;4;
capitalisme;capital;3;
capitaux;capital;1;
caracas;carac;1;
caractere;caracter;2;
caractère;caracter;1;
carrefour;carrefour;1;
carrières;carri;2;
carte;cart;1;
cartes;cart;2;
cas;cas;9;
cases;cas;1;
casques;casqu;2;
cassant;cass;1;
casser;cass;1;
castes;cast;1;
catastrophe;catastroph;2;
catastrophes;catastroph;3;
categories;categor;4;
catégories;catégor;2;
cause;caus;15;
causes;caus;9;
cavalcade;cavalcad;1;
cazeneuve;cazeneuv;1;
cece;cec;1;
cédant;ced;1;
cède;ced;1;
cédé;ced;1;
céder;ced;2;
cèderai;ced;2;
cédions;cédion;1;
célébration;célebr;2;
célébré;célebr;2;
celebrer;celebr;2;
célébrer;célebr;3;
célébrons;célébron;1;
celle;cel;42;
celles;cel;31;
cellule;cellul;2;
cellules;cellul;1;
celui;celui;30;
censure;censur;1;
cent;cent;2;
centaines;centain;1;
centenaire;centenair;2;
centrafrique;centrafr;2;
centrale;central;2;
centrales;central;2;
centre;centr;1;
centrée;centr;1;
cents;cent;1;
cependant;cepend;7;
cercle;cercl;1;
certain;certain;4;
certaine;certain;2;
certainement;certain;1;
certaines;certain;11;
certains;certain;15;
certes;cert;4;
certificat;certificat;1;
certitude;certitud;1;
certitudes;certitud;1;
cesse;cess;3;
cessé;cess;7;
cesser;cess;3;
cessera;cess;1;
cessons;cesson;2;
cest;est;13;
ceux;ceux;149;
chacun;chacun;107;
chacune;chacun;28;
chagrin;chagrin;1;
chagrins;chagrin;2;
chair;chair;3;
chaleur;chaleur;4;
chaleureuse;chaleur;4;
chaleureusement;chaleur;3;
chaleureuses;chaleur;2;
chaleureux;chaleur;11;
champ;champ;3;
champion;champion;1;
champions;champion;3;
chance;chanc;29;
chances;chanc;16;
change;chang;6;
changé;chang;4;
changement;chang;9;
changements;chang;10;
changent;changent;1;
changeons;changeon;2;
changer;chang;14;
changera;chang;1;
changeront;chang;1;
changés;chang;1;
chanson;chanson;2;
chant;chant;1;
chanté;chant;1;
chantier;chanti;2;
chantiers;chanti;3;
chaque;chaqu;52;
charbon;charbon;1;
charente;charent;1;
charge;charg;8;
chargé;charg;1;
chargeront;charg;1;
charges;charg;8;
chargés;charg;1;
charles;charl;1;
charlie;charl;1;
charte;chart;3;
chaud;chaud;1;
chauffeur;chauffeur;2;
chef;chef;2;
chefs;chef;7;
chemin;chemin;14;
chemins;chemin;3;
chèque;chequ;1;
chèques;chequ;1;
cher;cher;12;
cherche;cherch;5;
cherchent;cherchent;3;
chercher;cherch;1;
chercheurs;chercheur;2;
cherchons;cherchon;1;
chère;cher;3;
chérir;cher;1;
chers;cher;126;
chez;chez;23;
chiffres;chiffr;2;
chiffrés;chiffr;1;
chimie;chim;1;
chimiques;chimiqu;2;
chine;chin;1;
chirac;chirac;1;
choc;choc;7;
choisi;chois;8;
choisie;chois;1;
choisir;chois;5;
choisissons;chois;2;
choisit;chois;1;
choix;choix;47;
chomage;chomag;3;
chômage;chômag;40;
chômeur;chômeur;1;
chômeurs;chômeur;7;
chômgage;chômgag;1;
choquent;choquent;1;
chose;chos;6;
choses;chos;20;
chretienne;chretien;1;
ci;ci;13;
ciel;ciel;2;
ciment;ciment;2;
cinq;cinq;11;
cinquantenaire;cinquantenair;1;
cinquième;cinquiem;4;
circonstances;circonst;10;
circulation;circul;1;
circule;circul;2;
circuler;circul;2;
circulera;circul;1;
circuleront;circul;1;
citation;citat;2;
cité;cit;1;
citerai;cit;1;
cités;cit;1;
citoyen;citoyen;7;
citoyenne;citoyen;3;
citoyennes;citoyen;1;
citoyenneté;citoyennet;2;
citoyens;citoyen;9;
civile;civil;2;
civiles;civil;1;
civilisation;civilis;4;
civilisations;civilis;1;
civiliser;civilis;1;
civils;civil;1;
civique;civiqu;2;
civisme;civism;4;
clair;clair;1;
clairement;clair;6;
claires;clair;1;
clairs;clair;2;
clandestine;clandestin;1;
clarifiant;clarifi;1;
clarifiées;clarifi;1;
clé;clé;1;
clés;clé;1;
clients;client;2;
climat;climat;10;
climatique;climat;11;
climatiques;climat;1;
cliniques;cliniqu;1;
clivages;clivag;3;
clonage;clonag;1;
close;clos;1;
club;club;2;
code;cod;2;
coeur;coeur;31;
cœur;cœur;1;
coexister;coexist;1;
cohésion;cohes;18;
colère;coler;6;
colères;coler;2;
collectif;collect;8;
collectifs;collect;1;
collective;collect;8;
collectives;collect;2;
collectivité;collect;1;
collectivités;collect;4;
collège;colleg;1;
collègues;collègu;2;
colloque;colloqu;1;
combat;combat;12;
combats;combat;6;
combattante;combatt;1;
combattantes;combatt;1;
combattants;combatt;2;
combattre;combattr;4;
combattue;combattu;1;
combien;combien;7;
comité;comit;1;
commande;command;1;
commémorer;commémor;1;
commençant;commenc;2;
commence;commenc;10;
commencé;commenc;9;
commencée;commenc;4;
commencement;commenc;1;
commencent;commencent;3;
commencer;commenc;1;
commencera;commenc;1;
comment;comment;16;
commentaire;commentair;1;
commerçants;commerc;2;
commerce;commerc;3;
commerces;commerc;2;
commercial;commercial;1;
commerciales;commercial;1;
commettre;commettr;1;
commises;commis;2;
commission;commiss;1;
commun;commun;17;
communautaire;communautair;1;
communautarisme;communautar;5;
communaute;communaut;3;
communauté;communaut;17;
communautés;communaut;1;
commune;commun;12;
communes;commun;7;
communication;commun;1;
communications;commun;1;
communiquer;communiqu;3;
communs;commun;2;
comparer;compar;2;
compassion;compass;1;
compatriote;compatriot;1;
compatriotes;compatriot;141;
compétences;compétent;3;
compétitif;compétit;1;
compétitifs;compétit;2;
competition;competit;3;
compétition;compétit;2;
compétitions;compétit;2;
compétitition;compétitit;1;
compétitives;compétit;1;
compétitivité;compétit;9;
complaisance;complais;2;
complete;complet;1;
complète;complet;1;
complètement;complet;1;
complexe;complex;1;
compliquée;compliqu;1;
complotisme;complot;2;
comportée;comport;1;
comportements;comport;4;
composée;compos;1;
comprendre;comprendr;11;
comprendrez;comprendr;1;
comprends;comprend;3;
comprenez;compren;1;
compreniez;compren;1;
comprenne;compren;1;
compris;compr;8;
compromettre;compromettr;1;
compromis;comprom;2;
compte;compt;21;
comptent;comptent;1;
compter;compt;8;
comptes;compt;5;
comptez;compt;1;
concéder;conced;1;
concentrer;concentr;1;
conception;concept;1;
conceptions;concept;1;
concepts;concept;1;
concernant;concern;1;
concerne;concern;3;
concernent;concernent;2;
concert;concert;1;
concertation;concert;4;
concertations;concert;1;
concertée;concert;1;
concevoir;concevoir;2;
conciliation;concili;3;
conciliés;concili;1;
concitoyens;concitoyen;16;
conclu;conclu;2;
conclure;conclur;1;
conclus;conclus;1;
conclusion;conclus;1;
concorde;concord;4;
concours;concour;5;
concret;concret;1;
concurrence;concurrent;3;
concurrents;concurrent;3;
condamne;condamn;1;
condamnés;condamn;1;
condition;condit;14;
conditionne;condition;1;
conditions;condit;13;
conduirai;conduir;1;
conduire;conduir;13;
conduiront;conduiront;1;
conduise;conduis;1;
conduisons;conduison;1;
conduit;conduit;6;
conduite;conduit;4;
conduits;conduit;1;
confédération;conféder;1;
conference;conferent;1;
conférence;conférent;4;
confessions;confess;1;
confiance;confianc;62;
confiant;confi;3;
confiante;confi;1;
confie;conf;1;
confié;confi;2;
confiée;confi;1;
confiées;confi;1;
confinement;confin;2;
confirmé;confirm;1;
confirmee;confirme;1;
conflit;confl;4;
conflits;conflit;5;
confondra;confondr;2;
confondre;confondr;2;
conformément;conform;1;
conformité;conform;1;
conforter;confort;1;
confrères;confrer;2;
confrontation;confront;1;
confrontée;confront;1;
confrontées;confront;1;
confronter;confront;1;
confrontés;confront;2;
confusion;confus;1;
congé;cong;4;
congés;cong;3;
congrès;congres;1;
conjoncture;conjonctur;2;
conjuguent;conjuguent;1;
conjuguer;conjugu;3;
conjurer;conjur;2;
connais;con;3;
connaissance;connaiss;2;
connaissances;connaiss;1;
connaissent;connaissent;3;
connaissez;connaiss;2;
connaissons;connaisson;4;
connaît;connaît;1;
connaitre;connaitr;2;
connaître;connaîtr;2;
connaîtront;connaîtront;1;
connu;connu;10;
connue;connu;2;
connurent;connurent;1;
conquérir;conquer;2;
conquête;conquêt;4;
conquêtes;conquêt;1;
conquis;conqu;1;
conquises;conquis;1;
consacre;consacr;1;
consacrer;consacr;2;
consacrerai;consacr;2;
conscience;conscienc;15;
conscient;conscient;5;
conscients;conscient;1;
conseil;conseil;6;
consensuelle;consensuel;1;
consentement;consent;1;
consentirai;consent;1;
consentis;consent;2;
conséquence;conséquent;1;
conséquences;conséquent;10;
conservatismes;conservat;4;
conserve;conserv;2;
conservons;conservon;1;
considérable;consider;3;
considérables;consider;4;
considération;consider;2;
considere;consider;1;
considère;consider;3;
considérer;consider;1;
considérés;consider;1;
consolidée;consolid;1;
consolider;consolid;2;
consommateurs;consomm;2;
consommation;consomm;3;
consommer;consomm;1;
constamment;const;1;
constance;constanc;3;
constantine;constantin;1;
constate;constat;3;
constatent;constatent;2;
constater;constat;4;
constatez;constat;1;
constatons;constaton;1;
constituaient;constitu;2;
constitue;constitu;1;
constituent;constituent;1;
constitution;constitu;6;
constitutionnel;constitutionnel;1;
constructeurs;constructeur;1;
construction;construct;13;
construira;construir;1;
construire;construir;15;
construisant;construis;1;
construise;construis;1;
construisions;construis;1;
construisons;construison;3;
construit;construit;3;
consultatif;consult;1;
consultations;consult;1;
consultés;consult;1;
contagieux;contagi;1;
contagion;contagion;2;
contemporain;contemporain;2;
contemporains;contemporain;2;
contexte;context;1;
continent;continent;16;
continents;continent;4;
continuant;continu;1;
continue;continu;7;
continué;continu;3;
continuée;continu;1;
continuer;continu;21;
continuera;continu;4;
continuerai;continu;3;
continuerons;continu;7;
continueront;continu;1;
continuions;continuion;1;
continuité;continu;5;
continuons;continuon;1;
contours;contour;1;
contraception;contracept;1;
contractuelle;contractuel;1;
contradiction;contradict;1;
contradictions;contradict;1;
contraintes;contraint;6;
contraints;contraint;1;
contraire;contrair;6;
contrat;contrat;6;
contrats;contrat;2;
contre;contr;81;
contrepartie;contrepart;3;
contretemps;contretemp;1;
contribuables;contribu;1;
contribue;contribu;4;
contribué;contribu;4;
contribuer;contribu;2;
contribuera;contribu;1;
contribution;contribu;2;
contributions;contribu;1;
contrôle;contrôl;1;
contrôlée;contrôl;1;
contrôler;contrôl;1;
convaincre;convaincr;4;
convaincrons;convaincron;1;
convaincu;convaincu;5;
convention;convent;3;
conventions;convent;1;
conversion;convers;2;
conviction;convict;9;
convictions;convict;11;
convie;conv;1;
conviens;convien;2;
convient;convient;2;
convulsions;convuls;1;
coopération;cooper;1;
coordination;coordin;1;
coordonner;coordon;1;
cop;cop;1;
copenhague;copenhagu;1;
corentine;corentin;2;
corporatismes;corporat;2;
corps;corp;1;
correctionnels;correctionnel;1;
corriger;corrig;1;
corrompt;corrompt;1;
corse;cors;1;
côte;côt;1;
côté;côt;4;
côtés;côt;6;
cotisation;cotis;2;
cotisations;cotis;2;
cou;cou;1;
couleur;couleur;1;
couleurs;couleur;2;
coup;coup;2;
coupable;coupabl;1;
coupe;coup;2;
coups;coup;1;
courage;courag;23;
courageuse;courag;3;
courageuses;courag;1;
courageux;courag;4;
courant;cour;1;
courantes;cour;1;
courbe;courb;1;
cours;cour;12;
course;cours;4;
court;court;1;
courte;court;3;
cousins;cousin;1;
coût;coût;4;
coûte;coût;7;
coûté;coût;1;
coûteuse;coûteux;1;
couvertes;couvert;1;
covid;covid;5;
craignent;craignent;1;
craignez;craign;1;
craignons;craignon;1;
craindre;craindr;3;
craintes;craint;2;
créant;cré;5;
créateur;créateur;1;
