num;G_State;G_City;G_Study;A1_Gender;A10_LevInc;A11_LevEdu_f;A12_LevEdu_m;A13_Rank1;PaysVis;Mixit;Nblang;VecuEtranger;D2_tot
20;BEL;BRU;ART;M;Inc4;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_N;4+lang;Vecu_etra_N;union neighbor power similar 
21;BEL;BRU;ART;M;Inc2;EduF2;EduM3;(1) Loc;Nb_Vis5;Mixit_O;3lang;Vecu_etra_N;mediterranean colonizing country mix dynamic movement
22;BEL;BRU;ART;M;Inc3;EduF4;EduM4;(2) Inf;Nb_Vis_1a4;Mixit_O;4+lang;Vecu_etra_O;union currency cultures  
23;BEL;BRU;ART;M;Inc2;EduF2;EduM3;(6) Oth;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;collaboration importance politic economy ethnicity
24;BEL;BRU;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;union sharing exchange  
25;BEL;BRU;ART;F;Inc3;EduF4;EduM3;(4) Sup;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_N;union euro transfer divergence 
27;BEL;BRU;ART;M;Inc3;EduF3;EduM3;(1) Loc;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_O;paris london old continent  
28;BEL;BRU;ART;F;;EduF4;EduM2;(5) Glo;Nb_Vis5;Mixit_N;4+lang;Vecu_etra_N;exchange opening communication  
29;BEL;BRU;ART;F;Inc2;EduF3;EduM3;      .;Nb_Vis5;Mixit_O;2lang;Vecu_etra_N;economy anything great   
30;BEL;BRU;ART;F;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;union community economy plurality exchange
31;BEL;BRU;ART;M;Inc2;EduF4;EduM2;(4) Sup;Nb_Vis5;Mixit_N;2lang;Vecu_etra_O;diversity union problem euro 
32;BEL;BRU;ART;M;Inc2;EduF1;EduM2;(2) Inf;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_O;exchange connection cultures meeting solidarity
34;BEL;BRU;ART;F;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis_1a4;Mixit_O;3lang;Vecu_etra_O;trading monopoly opening to other continents culture mixing all african people dream euro
35;BEL;BRU;ART;M;Inc3;EduF3;EduM3;(5) Glo;Nb_Vis5;Mixit_O;2lang;Vecu_etra_O;alliance international relations euro  
36;BEL;BRU;ART;F;Inc3;EduF4;EduM2;(1) Loc;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;together diversity   
37;BEL;BRU;ART;M;Inc4;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;3lang;Vecu_etra_N;work tourism diversity economy 
39;BEL;BRU;ART;M;Inc2;EduF2;EduM2;(4) Sup;Nb_Vis5;Mixit_O;3lang;Vecu_etra_O;union fraternity   
40;BEL;BRU;ART;F;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_O;euro diversity union education 
41;BEL;BRU;ART;F;Inc3;EduF2;EduM4;(7)Mul;Nb_Vis5;Mixit_O;2lang;Vecu_etra_N;union opening development economy diversity
42;BEL;LGG;ART;M;Inc2;EduF3;EduM3;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;grouping of countries mainland   
45;BEL;LGG;ART;M;Inc3;EduF3;EduM3;(1) Loc;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;culture power cohesion rights 
46;BEL;LGG;ART;F;Inc4;EduF4;EduM3;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;euro power union  
48;BEL;LGG;ART;M;Inc4;EduF4;EduM4;(7)Mul;Nb_Vis5;Mixit_N;4+lang;Vecu_etra_N;euro european union stable old mainland well governed
49;BEL;LGG;ART;M;Inc2;EduF4;EduM1;(3) Nat;Nb_Vis5;Mixit_O;3lang;Vecu_etra_O;progress old mainland youth new freedom
50;BEL;LGG;ART;F;Inc3;EduF3;EduM3;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;euro developed countries small mainland european political rules 
51;BEL;LGG;ART;F;Inc2;EduF3;EduM3;(7)Mul;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;money developed countries mainland  
52;BEL;LGG;ART;M;Inc3;EduF2;EduM3;(2) Inf;Nb_Vis_1a4;Mixit_N;4+lang;Vecu_etra_N;european union economy association worldwide market development
53;BEL;LGG;ART;M;Inc4;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;3lang;Vecu_etra_O;union euro brussels power 26 countries
54;BEL;LGG;ART;M;Inc3;EduF3;EduM3;(4) Sup;Nb_Vis5;Mixit_N;0-1lang;Vecu_etra_N;euro free movement a lot of languages  
55;BEL;LGG;ART;M;Inc4;EduF3;EduM4;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;union mainland euro culture power
56;BEL;LGG;ART;F;Inc3;EduF4;EduM3;(3) Nat;Nb_Vis5;Mixit_O;3lang;Vecu_etra_N;euro    
57;BEL;LGG;ART;F;Inc3;EduF4;EduM3;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;cultural diversity exchanges power  
58;BEL;LGG;ART;F;Inc3;EduF3;EduM2;(2) Inf;Nb_Vis5;Mixit_O;3lang;Vecu_etra_O;occidentals beginning various population money disorganization
59;BEL;LGG;ART;M;Inc4;EduF4;EduM4;(1) Loc;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;union euro the west un 
60;BEL;LGG;ART;F;Inc2;EduF4;EduM2;(1) Loc;Nb_Vis_1a4;Mixit_N;4+lang;Vecu_etra_N;mainland european community brussels grouping 
61;BEL;LGG;ART;F;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;european parliament deputy brussels norms euro
63;BEL;LGG;ART;M;Inc4;EduF4;EduM4;(1) Loc;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;euro strict well provided eurovision 
65;BEL;LGG;ART;M;Inc3;EduF3;EduM4;(7)Mul;Nb_Vis5;Mixit_N;3lang;Vecu_etra_O;new open small  
66;BEL;LGG;ART;M;Inc2;EduF4;EduM1;(5) Glo;Nb_Vis_1a4;Mixit_O;4+lang;Vecu_etra_N;economic crisis unemployment nothing  
67;BEL;LGG;ART;M;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;crisis strength old mainland beautiful 
68;BEL;LGG;ART;M;Inc2;EduF3;EduM2;(3) Nat;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;union state fraternity peace 
69;BEL;LGG;ART;F;Inc2;EduF3;EduM3;(3) Nat;Nb_Vis_1a4;Mixit_O;2lang;Vecu_etra_O;union political money euro culture development
70;BEL;LGG;ART;F;Inc3;EduF3;EduM3;(3) Nat;Nb_Vis5;Mixit_N;4+lang;Vecu_etra_O;culture peace freedom wealth union
71;BEL;LGG;ART;F;Inc3;EduF3;EduM2;(3) Nat;Nb_Vis5;Mixit_O;3lang;Vecu_etra_N;euro parliament un stars brussels
72;BEL;LGG;ART;M;Inc2;EduF4;EduM4;(3) Nat;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;common market one money cooperation one big country no borders
73;BEL;LGG;ART;M;Inc3;EduF3;EduM3;(3) Nat;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;economy mainland euro exchange union
74;BEL;LGG;ART;M;Inc2;EduF4;EduM3;      .;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;united power   
75;BEL;LGG;ART;M;Inc2;EduF3;EduM4;(1) Loc;Nb_Vis_1a4;Mixit_O;2lang;Vecu_etra_N;euro european union european journalism centre dali barcelona
76;BRA;FOR;ART;M;Inc3;EduF3;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_O;rich colonizen continent explore the world   
77;BRA;FOR;ART;M;Inc2;EduF3;EduM3;(5) Glo;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;technology history entertainment newness 
79;BRA;FOR;ART;F;Inc2;EduF3;EduM3;(2) Inf;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;cities old continent colonialism war 
80;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(2) Inf;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;war euro diversity  
81;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;richness development   
82;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(7)Mul;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;development education tradition  
83;BRA;FOR;ART;M;Inc2;EduF3;EduM3;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;developed cold rich  
84;BRA;FOR;ART;F;Inc3;EduF3;EduM4;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;old cities history   
85;BRA;FOR;ART;F;Inc3;EduF3;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;richness white people   
86;BRA;FOR;ART;F;Inc3;EduF2;EduM2;(1) Loc;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;culture history richness cold oldness
87;BRA;FOR;ART;F;Inc2;EduF4;EduM4;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;union travelers promenade euro 
88;BRA;FOR;ART;M;Inc2;EduF3;EduM4;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;tradition    
90;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;individuality war difference xenophobia 
91;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;development tourist attraction   
92;BRA;FOR;ART;F;Inc3;EduF3;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;welfare development   
93;BRA;FOR;ART;F;Inc2;EduF4;EduM4;(5) Glo;Nb_Vis_O;Mixit_N;4+lang;Vecu_etra_N;cold weather culture luxury  
94;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;development tradition money organization stability
95;BRA;FOR;ART;F;Inc3;EduF4;EduM3;(1) Loc;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;development apparent quality of life isolation elegance sadness
96;BRA;FOR;ART;M;Inc2;EduF3;EduM3;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;history    
98;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;tradition economy dispute union education
99;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;development beauty   
101;BRA;FOR;ART;M;Inc4;EduF4;EduM4;(4) Sup;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;nobility first world foreigner  
102;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_N;3lang;Vecu_etra_O;modernity cleaning indifference past beauty
103;BRA;FOR;ART;F;Inc2;EduF3;EduM3;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;modernity culture richness future 
104;BRA;FOR;ART;F;Inc4;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_N;3lang;Vecu_etra_O;countries with different cultures which are cooperating which are the cultural foundations of the modern world    
105;BRA;FOR;ART;M;Inc2;EduF3;EduM4;(6) Oth;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;art architecture music european union bolsé
106;BRA;FOR;ART;F;Inc3;EduF3;EduM3;(1) Loc;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;development architecture technology opportunity 
107;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(2) Inf;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;seriousness conformism hardness richness development
108;BRA;FOR;ART;M;Inc2;EduF2;EduM2;(3) Nat;Nb_Vis_O;Mixit_O;0-1lang;Vecu_etra_N;beauty health case prosperity money 
109;BRA;FOR;ART;M;Inc3;EduF3;EduM4;(2) Inf;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;development organization prejudice segregation good quality of life
110;BRA;FOR;ART;M;Inc1;EduF2;EduM3;(4) Sup;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;paris euro old world european football leagu e 
111;BRA;FOR;ART;F;Inc2;EduF3;EduM3;(4) Sup;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;richness luxury high fashion  
112;BRA;FOR;ART;M;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_O;many cultures    
113;BRA;FOR;ART;F;Inc3;EduF3;EduM3;(7)Mul;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;richness old countries cold fashion cult art movies
114;BRA;FOR;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_O;development quality of life friends  
115;BRA;FOR;ART;F;Inc2;EduF4;;(3) Nat;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;history culture transport good quality of life languages 
116;BRA;FOR;ART;M;Inc2;EduF3;EduM2;(1) Loc;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;richness education development nobility 
117;BRA;MAO;ART;M;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;cold trends white wealth 
118;BRA;MAO;ART;F;Inc2;EduF2;EduM3;(2) Inf;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;cradle of art    
119;BRA;MAO;ART;M;Inc3;EduF4;EduM3;(1) Loc;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;rome spain portugal england 
120;BRA;MAO;ART;M;Inc3;EduF2;EduM3;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;21 century economic prosperity   
121;BRA;MAO;ART;M;Inc2;EduF2;EduM3;(5) Glo;Nb_Vis5;Mixit_N;4+lang;Vecu_etra_O;continent renowned    
122;BRA;MAO;ART;M;Inc3;EduF2;EduM3;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;urbanized quality culture domination developmental
123;BRA;MAO;ART;F;Inc3;EduF4;EduM3;(6) Oth;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;culture seniority modernity tourism 
124;BRA;MAO;ART;M;Inc3;EduF3;EduM3;(6) Oth;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;first world industry music seniority arts
125;BRA;MAO;ART;M;Inc3;EduF4;EduM4;(6) Oth;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;tourism study euro football technology
126;BRA;MAO;ART;M;Inc2;EduF3;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;wealth culture intellect beauty 
127;BRA;MAO;ART;M;Inc3;EduF3;EduM3;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;cultural tradition politics diversity conservatism accommodation
128;BRA;MAO;ART;M;Inc2;EduF3;EduM2;(6) Oth;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;new social world    
129;BRA;MAO;ART;M;Inc3;EduF3;EduM3;(2) Inf;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;developed countries    
130;BRA;MAO;ART;F;Inc4;EduF4;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;euro    
131;BRA;MAO;ART;F;Inc2;EduF2;EduM1;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;rain    
132;BRA;MAO;ART;M;Inc3;EduF2;EduM3;(4) Sup;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;history    
133;BRA;MAO;ART;M;Inc2;EduF3;EduM2;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;nazism war padfoot beatles cold play
134;BRA;MAO;ART;F;Inc2;EduF3;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;cold glamour beauty eiffel tower madrid
135;BRA;MAO;ART;M;Inc3;EduF1;EduM2;(2) Inf;Nb_Vis_O;Mixit_O;0-1lang;Vecu_etra_N;restricted capitalist   
136;BRA;MAO;ART;M;Inc3;EduF1;EduM1;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;bach    
137;BRA;MAO;ART;M;Inc2;EduF4;EduM2;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;old world    
138;BRA;MAO;ART;M;Inc2;EduF2;EduM2;(5) Glo;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;travel    
139;BRA;MAO;ART;M;Inc1;EduF3;EduM1;(5) Glo;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;quality of life cradle of culture art travel first world
140;BRA;MAO;ART;M;Inc3;EduF4;EduM2;(4) Sup;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;antiquity economic   
141;BRA;MAO;ART;F;Inc2;EduF2;EduM3;(2) Inf;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;spices second war pasta art greek sculptures
142;BRA;MAO;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;london luxury exuberant  
143;BRA;MAO;ART;F;Inc2;EduF2;EduM3;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_O;english euro   
144;BRA;MAO;ART;F;Inc2;EduF4;EduM3;(3) Nat;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;eiffel tower coffee beauty  
145;BRA;MAO;ART;F;Inc2;EduF2;EduM2;(5) Glo;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;wealth atheism polite quality of life work
146;BRA;MAO;ART;M;Inc3;EduF3;EduM4;(5) Glo;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;art culture society italian icecream louvre
147;BRA;MAO;ART;F;Inc1;EduF3;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;development economic classic music blond and handsome guy blue eyes
148;BRA;MAO;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;art french history culture 
149;BRA;MAO;ART;M;Inc2;EduF2;EduM1;(5) Glo;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;capitalism    
152;BRA;MAO;ART;F;Inc2;EduF2;EduM2;(3) Nat;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;russia belarus russia ukraine poland 
153;BRA;MAO;ART;F;Inc3;EduF2;EduM4;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;money music composers  
154;BRA;MAO;ART;F;Inc2;EduF3;EduM1;(2) Inf;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;industrial revolution world wars development developed countries aging
155;BRA;MAO;ART;F;Inc2;EduF4;EduM4;(5) Glo;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;art knowledge development culture tradition
156;BRA;MAO;ART;M;Inc2;EduF4;EduM4;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;power wealth conflicts luxury bloodthirsty
157;BRA;POA;ART;M;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;ego disrespect wealth  
158;BRA;POA;ART;F;Inc2;EduF2;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;influence culture art  
159;BRA;POA;ART;M;Inc1;EduF2;EduM2;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;art culture domination  
160;BRA;POA;ART;F;Inc2;EduF1;EduM2;(1) Loc;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;euro war development  
161;BRA;POA;ART;M;Inc2;EduF2;EduM1;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;old world european union xenophobia  
162;BRA;POA;ART;F;Inc3;EduF2;EduM3;(5) Glo;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;old world ancestors portugal italy 
163;BRA;POA;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;culture welfare wealth charm beauty
164;BRA;POA;ART;M;Inc2;EduF3;EduM3;(5) Glo;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;culture economic power   
165;BRA;POA;ART;F;Inc2;EduF4;EduM1;(1) Loc;Nb_Vis_1a4;Mixit_O;2lang;Vecu_etra_N;idealism wealth antiquity trend exploitation
166;BRA;POA;ART;F;;EduF4;EduM3;(3) Nat;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_N;exploitation racism culture art physics
167;BRA;POA;ART;M;Inc2;EduF2;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;tourism fashion euro luxury hypocrisy
168;BRA;POA;ART;F;Inc2;EduF3;EduM2;(5) Glo;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;painting sculpture art history wine pasta
169;BRA;POA;ART;F;Inc3;EduF3;EduM4;(2) Inf;Nb_Vis5;Mixit_N;3lang;Vecu_etra_N;knowledge culture origin wealth 
170;BRA;POA;ART;M;Inc2;EduF3;EduM2;(1) Loc;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_O;richest continent    
171;BRA;POA;ART;M;Inc2;EduF2;EduM2;(1) Loc;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;mythology old continent cradle of history  
173;BRA;POA;ART;M;Inc3;EduF3;EduM3;(1) Loc;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;culture union development sustainability 
175;BRA;POA;ART;M;Inc2;EduF2;EduM1;(1) Loc;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;history    
177;BRA;POA;ART;F;Inc3;EduF3;EduM4;(3) Nat;Nb_Vis5;Mixit_N;4+lang;Vecu_etra_N;old culture preserved heritage art museums
178;BRA;POA;ART;F;Inc2;EduF4;EduM2;(1) Loc;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;old world development arts architecture restoration
179;BRA;POA;ART;F;Inc3;EduF4;EduM4;(5) Glo;Nb_Vis5;Mixit_O;4+lang;Vecu_etra_O;culture cradle of western culture multiethnic  
180;BRA;POA;ART;M;Inc2;EduF4;EduM3;(5) Glo;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;euro war union art culture
181;BRA;POA;ART;M;Inc2;EduF3;EduM3;(5) Glo;Nb_Vis_O;Mixit_N;3lang;Vecu_etra_N;fashion    
182;BRA;POA;ART;F;Inc3;EduF2;EduM3;(6) Oth;Nb_Vis_O;Mixit_N;2lang;Vecu_etra_N;cool small wealth development tea
183;BRA;POA;ART;F;Inc3;EduF4;EduM4;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;old populous foreign  
184;BRA;POA;ART;F;Inc3;EduF4;;(5) Glo;Nb_Vis5;Mixit_N;2lang;Vecu_etra_O;first world antiquity history wealth tradition
185;BRA;POA;ART;F;Inc3;EduF3;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;rigidity arrogance conservatism democracy freedom
186;BRA;POA;ART;F;Inc2;EduF2;EduM2;(3) Nat;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;antiquity history museum art painting
187;BRA;POA;ART;M;Inc1;EduF1;EduM2;(1) Loc;Nb_Vis_O;Mixit_N;0-1lang;Vecu_etra_N;euro pound   
188;BRA;POA;ART;M;Inc3;EduF4;EduM4;(1) Loc;Nb_Vis_1a4;Mixit_N;0-1lang;Vecu_etra_N;france spain portugal germany 
189;BRA;POA;ART;M;Inc2;EduF3;;(3) Nat;Nb_Vis_1a4;Mixit_N;2lang;Vecu_etra_N;euro development economy union 
190;BRA;POA;ART;F;Inc3;EduF3;EduM3;(5) Glo;Nb_Vis_1a4;Mixit_N;4+lang;Vecu_etra_O;tradition culture art  
191;BRA;POA;ART;F;Inc2;EduF2;EduM2;(5) Glo;Nb_Vis5;Mixit_N;2lang;Vecu_etra_N;culture stability antiquity leisure 
192;BRA;POA;ART;F;Inc3;EduF4;;(3) Nat;Nb_Vis_1a4;Mixit_N;4+lang;Vecu_etra_N;snow euro health welfare 
193;BRA;POA;ART;F;Inc3;EduF1;EduM1;(2) Inf;Nb_Vis_1a4;Mixit_N;3lang;Vecu_etra_O;all resources    
